Journals titles,"Controllare i doppioni 
e sostituire ovunque in tabella ""articles"""
Access,
ACME,
Acta Didactica Napocensia,
Action in Teacher Education,
Actualidades Investigativas en Educación,
Administration & Éducation,
Advocatus,
AERA Open,
African Educational Research Journal,
Africana Studia,
Agora U.S.B.,
"Aibi revista de investigación, administración e ingeniería",
Alamedas,
Algemeen Nederlands Tijdschrift voor Wijsbegeerte,
"Aloma: Revista de Psicologia, Ciències de l′Educació i de l′Esport",
Alpha,
,
Alteridad,
American Association of University Administrators,
American Journal of Public Health,
Anais Do Workshop De Informática Na Escola,
Análisis,
Annali online della Didattica e della Formazione Docente,
Annals of Tourism Research,
Anthropology & Education Quarterly,
Antropología Experimental,
Aotearoa New Zealand Social Work,
Arab World English Journal,
Area,
Articles,
Articles / Les articles,
Asia Pacific Education Review,
Asia Pacific Journal of Education,
Asia-Pacific Journal of Teacher Education,
Asian Education and Development Studies,
Asian Journal of Political Science,
"ASRI, Arte and sociedad, revista de investigación",
Aula Abierta,
Aula de Encuentro,
Aula de innovación educativa,
Aura - Dodatek Ekologiczny dla Szkół,
Außerschulische Bildung,
Australian Journal of Teacher Education,
Avances en supervisión educativa: Revista de la Asociación de Inspectores de Educación de España,
Białostockie Studia Prawnicze,
Bildung & wissenschaft,
Bildung zur Nachhaltigkeit,
BMC Medical Education,
Bolema: Boletim de Educação Matemática,
Boletín Redipe,
Bordón. Revista de Pedagogía,
Brazilian Journal of Development,
British Journal of Educational Studies,
British Journal of Sociology of Education,
BRU: Magazin für den Religionsunterricht an berufsbildenden Schulen,
Cadernos Brasileiros de Terapia Ocupacional,
CADMO,
Calidad en la educación,
Cambio. Rivista sulle Trasformazioni Sociali,
Cambridge Journal of Education,
Canadian Journal of Development Studies / Revue canadienne d′études du développement,
Canadian Journal of Education / Revue canadienne de l′éducation,
Carrefours de l′éducation,
Center for Educational Policy Studies Journal,
Child Development,
Childhood,
Childhood Education,
Children & Society,
Children and Youth Services Review,
Children's Geographies,
Chinese Education & Society,
Chowanna,
Ciência & Saúde Coletiva,
CIENCIA ergo sum,
Científic@ - Multidisciplinary Journal,
"CIRIEC-España, revista de economía pública, social y cooperativa",
Citizenship Education Research Journal / Revue de recherche sur l'éducation à la citoyenneté,
Citizenship Teaching & Learning,
"Citizenship, Social and Economics Education",
College Student Affairs Journal,
Comillas Journal of International Relations,
Comparative and International Education,
Comparative Education,
Comparative Education Review,
Compare: A Journal of Comparative and International Education,
Comunicar,
Contextos: Estudios De Humanidades and Ciencias Sociales,
Contribuciones a las Ciencias Sociales,
Convergencia Revista de Ciencias Sociales,
Cosmopolitan Civil Societies: An Interdisciplinary Journal,
Courrier hebdomadaire du CRISP,
"CPU-e, Revista de Investigación Educativa",
Critical Ethnic Studies,
Critical Literacy: Theories and Practices,
Critical Perspectives on Accounting,
Critical Studies in Education,
Cuadernos de Pedagogía,
Cultura - Hombre - Sociedad CUHSO,
Cultura and Representaciones Sociales,
cultural geographies,
Cultural Studies $łeftrightarrow$ Critical Methodologies,
Culturales,
Culture e Studi del Sociale,
Current Opinion in Environmental Sustainability,
Currículo sem Fronteiras,
Curriculum and Teaching,
Curriculum Inquiry,
Czasopismo Geograficzne,
Da Investigação às Práticas: Estudos de Natureza Educacional,
Das Baugerüst,
Debates & Prácticas En Educación,
"Decolonization: Indigeneity, Education & Society",
Democracy and Education,
Der fremdsprachliche Unterricht (Englisch),
Der fremdsprachliche Unterricht (Spanisch),
Derechos en Acción,
Desacatos,
Development in Practice,
Development Policy Review,
Déviance et Société,
Diálogo Andino,
Diálogo Filosófico,
Diálogos Educativos para a Transformação Social,
Didáctica de las ciencias experimentales and sociales,
Didasc@lia: Didáctica and Educación,
Dimensies,
Direito e Desenvolvimento,
Diretoria-Conpedi,
Dis.kurs,
Discourse and Communication for Sustainable Education,
Discourse: Studies in the Cultural Politics of Education,
Diversités recherches et terrains,
DIXI,
Drohiczyński Przegląd Naukowy: Wielokulturowe studia Drohiczyńskiego Towarzystwa Naukowego,
"E-DHC, Quaderns Electrònics sobre el Desenvolupament Humà i la Cooperació",
e-mentor,
e-Mosaicos,
Educação & Sociedade,
Educação Ambiental E Valores Na Escola,
Educação e Contemporaneidade,
Educação e Pesquisa,
Educação em Revista,
Educação Por Escrito,
"Educação, Sociedade & Culturas",
Educación,
Educación and Diversidad,
Educación and Futuro Digital,
Educación social: Revista de intervención socioeducativa,
Educación XX1,
Educar,
Educar em Revista,
Educatio Siglo XXI,
Education 3-13,
Education as Change,
"Education des adultes et développement, DVV International",
Education en débats : analyse comparée,
Éducation et didactique,
Éducation et francophonie,
Éducation et sociétés,
education policy analysis archives,
Éducation relative à l′environnement,
Education Sciences,
EDUCATION SCIENCES AND SOCIETY,
"Education, Citizenship and Social Justice",
"Education, Politics, and Culture",
Educational Leadership,
Educational Media International,
Educational Philosophy and Theory,
Educational Policy,
Educational Research for Social Change,
Educational Researcher,
Educational Review,
Educational Studies,
Educational Studies in Japan,
Educere,
Edukacja Międzykulturowa,
Eduser - Revista de Educação,
EduSol,
Eine Welt in der Schule,
El Ágora USB,
El Guiniguada,
Emerald Publishing Limited,
"Emotion, Space and Society",
En Fórum Aragón: revista digital de FEAE-Aragón sobre organización and gestión educativa,
En-Clave Pedagógica: Revista Internacional de Investigación e Innovación Educativa,
Encyclopaideia - Journal of Phenomenology and Education,
Englisch,
ENSAYOS. Revista de la Facultad de Educación de Albacete,
Enseñanza & Teaching,
Enseñanza de las Ciencias. Revista de investigación y experiencias didácticas,
Entornos,
Entreciencias: Diálogos en la Sociedad del Conocimiento,
Entwurf,
"Environment, Development and Sustainability",
Environmental Education Research,
"Equilibri, Rivista per lo sviluppo sostenibile",
Erziehungswissenschaftliche Revue (EWR),
Espacio Abierto: Cuaderno Venezolano De Sociología,
Estudios de Historia and Sociedad,
Estudios Internacionales (Santiago),
Estudios pedagógicos (Valdivia),
Estudios sobre Educación,
Estudios Sobre Las Culturas Contemporáneas,
Estudos e Pesquisas em Psicologia,
Ethics & Global Politics,
Éthique en éducation et en formation,
Etic@net. Revista científica electrónica de Educación y Comunicación en la Sociedad del Conocimiento,
"Eurasia Journal of Mathematics, Science and Technology Education",
Eurasian Journal of Applied Linguistics,
Europe's Journal of Psychology,
European Early Childhood Education Research Journal,
European Educational Research Journal,
European Journal of Cultural Studies,
European Journal of Education,
European Journal of Education Studies,
European Journal of Educational Research,
European Journal of Higher Education,
European Journal of Social Psychology,
European Journal of Teacher Education,
European Societies,
Eurostudia,
Evaluation and Program Planning,
FIRE: Forum for International Research in Education,
Folios,
Foreign Language Annals,
Forma y Función,
Formazione & Insegnamento,
FORMAZIONE & INSEGNAMENTO. Rivista internazionale di Scienze dell’educazione e della formazione,
Foro de Educación,
Forschungsjournal Soziale Bewegungen,
Forum Aragón: Revista Digital De FEAE-Aragón Sobre Organización and Gestión Educativa,
Forum Erwachsenenbildung,
Forum Pedagogiczne,
Frontiers: The Interdisciplinary Journal of Study Abroad,
Futures,
GECONTEC: Revista Internacional De Gestión Del Conocimiento and La Tecnología,
Gender and Education,
"Gênero, Meio Ambiente E Direitos Humanos",
Geoforum,
"Geografiska Annaler: Series B, Human Geography",
Geographie aktuell & Schule,
Geographische Rundschau,
Geography Compass,
Geography Education for Global Understanding,
Gids Op Maatschappelijk Gebied,
Global Education in Bioethics,
Global Education Review,
Global Environmental Politics,
Global Policy,
"Globalisation, Societies and Education",
"Glocalism: Journal of Culture, Politics and Innovation",
Grades Review,
Grundschule,
Higher Education,
Higher Education in Europe,
Higher Education Research & Development,
Historia and Grafía,
Human Rights Education Review,
"Human Service Organizations: Management, Leadership & Governance",
IAFOR Journal of Education,
Iberoamerican Journal of Development Studies,
Identities,
"Ikastorratza, e-Revista de didáctica",
Impuls voor Onderwijsbegeleiding,
Indagatio Didactica,
Infancia: educar de 0 a 6 años,
Informationen Deutsch als Fremdsprache,
INNOVA Research Journal,
Innovación Educativa,
Innovation in Language Learning and Teaching,
Innovations in Education and Teaching International,
INTERAÇÕES,
Interciencia: Revista de Ciencia and Tecnología De América,
Intercultural Education,
Interfaces Brasil/Canadá,
International Education and Research Journal,
International Journal for the Scholarship of Teaching and Learning,
International journal for the Study of the Christian Church,
International Journal of Christianity & Education,
International Journal of Comparative Education and Development,
International Journal of Development Education and Global Learning,
International Journal of Distance Education and E-Learning,
International Journal of Education & the Arts,
International Journal of Educational Development,
International Journal of Educational Research,
International Journal of Educational Sciences,
International Journal of Higher Education,
International Journal of Human Sciences,
International Journal of Innovative Research and Advanced Studies (IJIRAS),
International Journal of Kinesiology in Higher Education,
"International Journal of Learning, Teaching and Educational Research",
International Journal of Lifelong Education,
International Journal of Modern Education Studies,
International Journal of Multicultural and Multireligious Understanding,
International Journal of Multidisciplinary Perspectives in Higher Education,
International Journal of Progressive Education,
International Journal of Psychology,
International Journal of Research,
International Journal of Sociology of Education,
International Journal of Sustainability in Higher Education,
International Political Sociology,
International Research in Geographical and Environmental Education,
International Review of Education,
International Social Work,
International Sociology,
International Studies in Educational Administration (Commonwealth Council for Educational Administration & Management (CCEAM)),
International Studies in Sociology of Education,
Investigación en la escuela,
Irish Educational Studies,
Irish Journal of Sociology,
Issues in Teacher Education,
ITALIAN JOURNAL OF EDUCATIONAL RESEARCH,
Italiano LinguaDue,
Iztapalapa. Revista de Ciencias Sociales y Humanidades,
Journal for Critical Education Policy Studies,
Journal for Multicultural Education,
Journal of Adolescent Research,
Journal of Adventure Education and Outdoor Learning,
Journal of Beliefs & Values,
Journal of Business Research,
Journal of Citizenship and Globalisation Studies,
Journal of College and Character,
Journal of College Student Development,
Journal of Community Engagement & Scholarship,
Journal of Comparative & International Higher Education,
Journal of Curriculum Studies,
Journal of Early Childhood Education Research,
Journal of Education for Sustainable Development,
Journal of Education for Teaching,
Journal of Education in Developing Areas,
Journal of Education Policy,
Journal of Educational Change,
Journal of Educational Sciences & Psychology,
Journal of Environmental Psychology,
Journal of Ethnic and Migration Studies,
Journal of Further and Higher Education,
Journal of Geography,
Journal of Geography in Higher Education,
Journal of Global Citizenship & Equity Education,
Journal of Global Education and Research,
Journal of Higher Education Outreach and Engagement,
Journal of Hispanic Higher Education,
Journal of Intercultural Communication Research,
Journal of Interdisciplinary Studies in Education,
Journal of International and Global Studies,
Journal of International Cooperation in Education,
Journal of International Development,
Journal of International Social Studies,
Journal of International Students,
Journal of Latinos and Education,
Journal of Leadership Education,
Journal of Moral Education,
Journal of Multilingual and Multicultural Development,
Journal of Organizational Behavior Management,
Journal of Peace Education,
Journal of Psychology Research,
Journal of Research,
Journal of Research in Childhood Education,
Journal of Research in Curriculum Instruction,
Journal of Research in International Education,
Journal of Social Intervention: Theory and Practice,
Journal of Social Science Education,
Journal of Social Studies Education Research,
Journal of Sociology,
Journal of Studies in International Education,
Journal of Teacher Education,
Journal of Teacher Education for Sustainability,
Journal of Technology and Teacher Education,
Journal of Tourism and Cultural Change,
Journal of Transformative Education,
Journal of Youth and Adolescence,
Journal on Education in Emergencies,
JSSE - Journal of Social Science Education,
Justicia,
Kappa Delta Pi Record,
Katholische Bildung,
Kindergarten heute,
Koers - Bulletin for Christian Scholarship,
kult-ur revista interdisciplinària sobre la cultura de la ciutat,
Kultura i Edukacja,
Kwartalnik Edukacyjny,
L'éducation en débats: analyse comparée,
La civiltà cattolica,
La Pensée écologique,
La revue internationale de l′éducation familiale,
Language and Intercultural Communication,
Language Teaching,
"Language, Culture and Curriculum",
Le Télémaque,
Leisure Studies,
Les institutions civiques de l'enfance et de l'adolescence,
Libre Empresa,
Lifelong Lifewide Learning,
LiminaR Estudios Sociales y Humanísticos,
Literatura y Lingüística,
Local Environment,
London Review of Education,
Lua Nova: Revista de Cultura e Política,
Lubelski Rocznik Pedagogiczny,
Luna Azul,
Management in Education,
"Matemáticas, Educación and Sociedad",
Media International Australia,
"MeTis. Mondi educativi. Temi, indagini, suggestioni",
Milli Egitim,
MODULEMA. Revista científica sobre Diversidad Cultural,
Multicultural Education Review,
Muzealnictwo,
New directions for student leadership,
New Media & Society,
New Zealand Journal of Educational Studies,
New Zealand Sociology,
Nodos y Nudos,
Nordic Journal of Studies in Educational Policy,
Número monográfico de la revista Educación Social: Revista de intervención socioeducativa,
Nursing Outlook,
OBETS. Revista de Ciencias Sociales,
Olhares: Revista do Departamento de Educação da Unifesp,
Opción,
Open Journal of Social Sciences,
Orientamenti pedagogici: rivista internazionale di scienze dell'educazione,
Österreichisches Religionspädagogisches Forum,
Oxford Review of Education,
Pädagogik (Weinheim),
Padres y Maestros / Journal of Parents and Teachers,
Páginas de Educación,
Palabra Clave,
Paradigma,
Peace and Conflict: Journal of Peace Psychology,
Pedagogía Social. Revista Interuniversitaria,
Pedagogía y Saberes,
Pedagogies: An International Journal,
Pedagogika Społeczna,
"Pedagogy, Culture & Society",
Península,
Pensée plurielle,
Perfiles Educativos,
Perspectivas Da Educação Matemática,
Perspectivas Em Diálogo: Revista De Educação E Sociedade,
Pharmacy Education,
"Pixel-Bit, Revista de Medios y Educación",
PLOS ONE,
Podstawy Edukacji,
,
Policy & Practice. A Development Education Review,
,
,
Policy Futures in Education,
Posgrado y Sociedad. Revista Electrónica del Sistema de Estudios de Posgrado,
Praxis & Saber,
Praxis Educativa,
Praxis Englisch,
Praxis Gemeindepädagogik,
Prisma Social: Revista De Investigación Social,
Producción $\mathplus$ Limpia,
Profesorado. Revista de Currículum y Formación del Profesorado,
,
,
Prospectiva,
PROSPECTS,
Psicologia e Saber Social,
Psicoperspectivas. Individuo y Sociedad,
PUBLICACIONES,
Quaderns De La Mediterrània = Cuadernos Del Mediterráneo,
"Ra Ximhai: Revista Científica De Sociedad, Cultura and Desarrollo Sostenible",
Race Equality Teaching,
Radical Teacher,
RDST,
Recherches en éducation,
Recreando la educación emancipadora,
,
"REICE. Revista Iberoamericana sobre Calidad, Eficacia y Cambio en Educación",
REIDICS Revista de investigación en didáctica de las ciencias sociales,
ReiDoCrea: Revista electrónica de investigación Docencia Creativa,
RELATEC. Revista Latinoamericana de Tecnología Educativa,
,
RELIEVE - Revista Electrónica de Investigación y Evaluación Educativa,
Religions,
Religious Education,
REMEA - Revista Eletrônica do Mestrado em Educação Ambiental,
RES. Revista de Educación Social,
,
Research for All,
Research in Comparative and International Education,
Research in Higher Education,
Research in Social Sciences and Technology,
Research Papers in Education,
"Research, Society and Development",
RIGEO. Review of International Geographical Education Online,
,
Review of Research in Education,
Revista  de  Ciencias  Sociales,
Revista Boletín Redipe,
,
Revista Brasileira De Direitos Fundamentais & Justiça,
Revista Brasileira de Estudos Pedagógicos,
,
Revista Científica Hermes - FIPEN,
Revista Cocar,
Revista Colombiana de Educación,
Revista Complutense de Educación,
Revista ComSertões,
Revista d’Intervenció Socioeducativa,
Revista da FAEEBA - Educação e Contemporaneidade,
Revista de Cercetare si Interventie Sociala,
Revista de Ciencias Sociales,
Revista de Comunicación de la SEECI,
"Revista de Desarrollo Humano, Educativo and Social Contemporáneo",
Revista de Educação ReAGES,
REVISTA DE EDUCACIÓN AMBIENTAL Y SOSTENIBILIDAD,
Revista de Educación Ambiental y Sostenibilidad,
Revista de Educación Inclusiva,
,
Revista de Estudios e Investigación en Psicología y Educación,
Revista de estudios locales. Cunal,
Revista de Estudios y Experiencias en Educación,
Revista de Fomento Social,
Revista de Humanidades,
Revista de Investigación en Educación,
Revista de la Asociación de Sociología de la Educación,
Revista de la Educación Superior,
,
Revista de Paz y Conflictos,
"Revista de relaciones internacionales,  estrategia y seguridad",
Revista de Sociología de la Educación-RASE,
Revista De Trabalhos Acadêmicos-Campus Niterói,
Revista Del Cisen Tramas/Maepova,
Revista del IICE,
Revista Derecho del Estado,
Revista Diálogo Educacional,
Revista Direitos Humanos e Democracia,
Revista Do Cejur/Tjsc: Prestação Jurisdicional,
Revista Docentes,
Revista Educação em Questão,
Revista Educación,
Revista Educación y Ciudad,
,
,
REDIE. Revista Electrónica de Investigación Educativa,
Revista Electrónica Educare,
Revista Electrónica Interuniversitaria de Formación del Profesorado,
REVISTA ENCUENTROS,
REVISTA ESMAT,
REC. Revista Espaço do Currículo,
,
Revista Española de Desarrollo and Cooperación,
Revista Española de Educación Comparada,
REEFD. Revista Española de Educación Física and Deportes,
Revista española de pedagogía,
Revista Estudios del Desarrollo Social: Cuba and América Latina,
Revista Fuentes,
Revista Historia de la Educación Latinoamericana,
,
Revista Iberoamericana de Educación,
Revista Iberoamericana de Educación Superior,
,
Revista Iberoamericana de Estudios de Desarrollo/ Iberoamerican Journal of Development Studies,
Revista Inter Ação,
Revista Internacional de Comunicación y Desarrollo (RICD),
Revista Internacional de Educação Superior,
RIEJS. Revista Internacional de Educación para la Justicia Social,
,
,
,
Revista Internacional de Investigación en Educación Global and para el Desarrollo,
Revista Interuniversitaria,
Revista interuniversitaria de formación del profesorado,
Revista Investigación en la Escuela,
,
Revista latinoamericana de educación inclusiva,
Revista Latinoamericana de Metodología de las Ciencias Sociales,
,
Revista Legislativa de Estudios Sociales and de Opinión Pública,
Revista Linguagem & Ensino,
Revista Lusófona de Educaçao,
,
,
RMIE. Revista Mexicana de Investigación Educativa,
,
Revista NuestrAmérica,
Revista Nuevo Humanismo,
Revista Padres and Maestros,
Revista Pedagógica (Chapecó),
Revista Polyphonía,
Revista Publicando,
Revista San Gregorio,
Revista sobre la infancia y la adolescencia,
Revista Temas em Educação,
Revista Ufg,
Revue des Etudes Multidisciplinaires en Sciences Economiques et Sociales,
Revue des sciences de l'éducation,
Revue française de pédagogie,
Revue internationale d′éducation de Sèvres,
Revue internationale des études du développement,
Revue Internationale du Marketing et Management Stratégique,
Revue Marocaine de Recherche en Management et Marketing,
RicercAzione,
RIDAS,
,
,
"RIDAS. Revista Iberoamericana de Aprendizaje Servicio. Solidaridad, ciudadanía y educación",
RIDE. Revista Iberoamericana para la Investigación y el Desarrollo Educativo,
RISE. Revista Internacional de Sociología de la Educación,
Rivista Formazione Lavoro Persona,
Rivista internazionale di Scienze dell’educazione e della formazione,
Rivista Lasalliana,
Rocznik Andragogiczny,
Roteiro,
Runa: Archivo Para Las Ciencias Del Hombre,
Saber & Educar,
SAGE Open,
Sapientiae,
Schulmagazin 5 - 10,
Scientific Papers of Silesian University of Technology. Organization and Management Series,
Scuola democratica,
Service social,
SFU Educational Review,
Sinergias - Diálogos educativos para a transformação social,
,
,
,
Sisyphus — Journal of Education,
Social Sciences,
SocietàMutamentoPolitica,
Societies,
Sophía,
South journal of Educational Psychology and Counseling,
Soziale Arbeit,
Spirale - Revue de recherches en éducation,
"Sport, Education and Society",
Springer,
SSRN Electronic Journal,
Studi Emigrazione,
Studia Edukacyjne,
Studia i Prace Pedagogiczne,
Studies in Higher Education,
Studies in Philosophy and Education,
Sustainability,
Sustainability Science,
Sustainability: The Journal of Record,
Sustainable Development,
Synergies Chili,
Synergies Sud Est Européen,
TABANQUE Revista pedagógica,
Tándem: Didáctica de la educación física,
Teaching and Teacher Education,
Teaching in Higher Education,
TechTrends,
"Tecné, Episteme and Didaxis",
"TED: Tecné, Episteme y Didaxis",
Telos,
Tendencias Pedagógicas,
,
,
Teoría de la Educación. Revista Interuniversitaria,
Teraźniejszość - Człowiek - Edukacja,
Tertium comparationis,
The Canadian Journal of Higher Education,
The Curriculum Journal,
The Geographical Journal,
The Geography Teacher,
The Global Education Movement: Narratives of Distinguished Global Scholars,
The International Journal of Diversity in Education,
The International Journal of Human Rights,
The Journal of Environmental Education,
The Journal of Social Studies Research,
The Social Science Journal,
The Social Studies,
The Teacher Educator,
The Urban Review,
Theory & Research in Social Education,
,
Theory Into Practice,
Tiempo De Paz,
Tla-Melaua. Revista de Ciencias Sociales,
Tourism Management,
Tourism Recreation Research,
Tourist Studies,
Trabajo Social,
Transactions of the Institute of British Geographers,
Tydskrif vir Geesteswetenskappe,
UFAM Business Review - UFAMBR,
Uniciencia,
UNIPLURIVERSIDAD,
Universal Journal of Educational Research,
US-China Education Review B,
"Usługi, Technologie Informacyjne i Media / New Library",
Utopía and Praxis Latinoamericana: Revista Internacional de Filosofía Iberoamericana and Teoría Social,
Vakblad Sociaal Werk,
Value-Creating Global Citizenship Education,
Van twaalf tot achttien,
Vestigium Ire,
Voces de La Educación,
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations,
Waardenwerk,
Was verbirgt sich eigentlich dahinter? Praxis der Naturwissenschaften - Biologie in der Schule,
Welt des Kindes,
Welt-Sichten,
World Studies in Education,
YOUNG,
Zeitschrift für Erziehungswissenschaft,
Zeitschrift für Geographiedidaktik,
Zeitschrift für internationale Bildungsforschung und Entwicklungspädagogik,
Zeitschrift für Pädagogik und Theologie,
ZEP – Zeitschrift für internationale Bildungsforschung und Entwicklungspädagogik,
ZEP: Zeitschrift für die Didaktik der Gesellschaftswissenschaften,
ZEP: Zeitschrift für internationale Bildungsforschung und Entwicklungspädagogik,
Zona Próxima,
مجلة مسالك التربية و التكوين,